Waypoint,X,Y,Z
0,-55.1221,24.2931,99.9895
1,-39.3223,-20.7775,107.977
2,-13.4805,-47.3042,107.188
3,-56.7515,65.8604,200.687
4,-14.6455,54.5666,166.749
5,-19.6282,36.9716,160.628
6,40.7257,72.2077,237.26
7,31.8529,78.6896,216.209
8,47.751,91.6221,205.201
9,-19.8876,89.1552,237.813
10,34.6964,121.489,224.772
11,41.3824,128.752,224.558
12,41.5448,107.057,261.141
13,52.916,141.516,248.475
14,76.1268,173.157,240.976
15,0.978608,126.598,252.045
16,59.327,177.405,245.298
17,68.6705,191.46,245.717
18,41.9932,126.937,268.114
19,58.459,172.023,256.904
20,83.7326,208.167,250.012
21,4.36252,141.902,255.67
22,64.4156,196.702,250.075
23,73.7323,211.05,250.228
24,41.9231,132.632,269.378
25,58.9721,181.148,258.693
26,84.961,218.042,251.871
27,4.66556,145.787,256.442
28,65.05,201.115,250.939
29,74.3261,215.405,251.063
30,42.0343,133.443,269.442
31,58.9826,182.517,258.857
32,84.9863,219.475,252.046
33,4.73001,146.068,256.504
34,65.1038,201.415,250.977
35,74.3202,215.543,251.071
36,42.1959,133.188,269.331
37,59.0691,182.206,258.744
38,85.0172,219.125,251.929
39,4.81196,145.756,256.45
40,65.1642,201.061,250.893
41,74.3534,215.084,250.961
42,42.3257,132.914,269.242
43,59.1787,181.84,258.639
44,85.1005,218.728,251.82
45,4.8814,145.521,256.403
46,65.232,200.805,250.825
47,74.4122,214.796,250.884
48,42.4064,132.769,269.192
49,59.2597,181.648,258.578
